No. Hidden Layers 1,No. Hidden Layers 2,Confidence Overlap,T-Statistic,P-Value,Significant Difference
4,3,False,-1.510676044956127,0.20539300135865332,False
4,2,False,-2.377428170602376,0.07620218005364758,False
3,2,False,-1.0667990773577238,0.3461711941105356,False
